id,year,quarter,ceg_label,group,taxa_de_disponibilidade,taxa_de_despacho,geração_líquida_GWh,geração_bruta_GWh,taxa_de_geração_ACR,taxa_de_geração_ACL,receita_variável_líquida_R$/MWh,cvu_R$/MWh
1,2016,1,Porto do Itaqui,Coal Consolidated,"0,87","0,71",454.0,516,N.A,N.A,105,102.0
2,2016,1,Porto do Pecém II,Coal Consolidated,"0,95","0,86",595.0,664,N.A,N.A,128,107.0
3,2016,1,Parnaíba IV,Parnaiba Consolidated,"0,78","0,62",62.0,65,N.A,N.A,N.A,
4,2016,1,Parnaíba I,,89%,77%,1021.0,1074,N.A,N.A,92,92.0
5,2016,1,Parnaíba II,,,,,0,N.A,N.A,0,
6,2016,1,Parnaíba II,,94%,67%,235.0,243,N.A,N.A,163,169.0
7,2016,2,Porto do Itaqui,Coal Consolidated,"0,71","0,68",416.0,473,N.A,N.A,103,97.0
8,2016,2,Porto do Pecém II,Coal Consolidated,"0,97","0,91",626.0,699,N.A,N.A,118,102.0
9,2016,2,Parnaíba IV,Parnaiba Consolidated,"0,79","0,84",80.0,84,N.A,N.A,N.A,
10,2016,2,Parnaíba I,,95%,92%,1264.0,1329,N.A,N.A,88,78.0
11,2016,2,Parnaíba II,,,,,6,N.A,N.A,0,
12,2016,2,Parnaíba II,,87%,52%,195.0,201,N.A,N.A,188,169.0
13,2016,3,Porto do Itaqui,Coal Consolidated,"0,73","0,89",457.0,521,N.A,N.A,109,106.0
14,2016,3,Porto do Pecém II,Coal Consolidated,"0,99","0,51",366.0,410,N.A,N.A,113,110.0
15,2016,3,Parnaíba IV,Parnaiba Consolidated,"0,59","1,00",64.0,67,N.A,N.A,N.A,74.0
16,2016,3,Parnaíba I,,83%,90%,1053.0,1090,N.A,N.A,121,100.0
17,2016,3,Parnaíba II,,96%,100%,1033.0,1083,N.A,N.A,44,62.0
18,2016,3,Parnaíba II,,83%,44%,171.0,176,N.A,N.A,168,169.0
19,2016,4,Porto do Itaqui,Coal Consolidated,"0,55","0,82",246.0,280,N.A,N.A,163,143.0
20,2016,4,Porto do Pecém II,Coal Consolidated,"0,99","0,30",218.0,245,N.A,N.A,163,147.0
21,2016,4,Parnaíba IV,Parnaiba Consolidated,"0,00","1,00",0.0,0,N.A,N.A,N.A,80.0
22,2016,4,Parnaíba I,,93%,92%,1233.0,1276,N.A,N.A,105,104.0
23,2016,4,Parnaíba II,,93%,100%,1009.0,1059,N.A,N.A,45,66.0
24,2016,4,Parnaíba II,,84%,69%,246.0,254,N.A,N.A,183,176.0
25,2017,1,Porto do Itaqui,Coal Consolidated,"0,88","0,04",21.0,24,N.A,N.A,129,145.0
26,2017,1,Porto do Pecém II,Coal Consolidated,"0,96","0,84",512.0,578,N.A,N.A,150,151.0
27,2017,1,Parnaíba IV,Parnaiba Consolidated,"0,00","0,30",0.0,0,N.A,N.A,N.A,80.0
28,2017,1,Parnaíba I,,97%,9%,145.0,150,N.A,N.A,130,134.0
29,2017,1,Parnaíba II,,95%,54%,503.0,528,N.A,N.A,71,67.0
30,2017,1,Parnaíba II,,100%,0%,0.0,0,N.A,N.A,0,182.0
31,2017,2,Porto do Itaqui,Coal Consolidated,"0,97","0,16",90.0,102,N.A,N.A,116,132.0
32,2017,2,Porto do Pecém II,Coal Consolidated,"0,88","0,83",534.0,602,N.A,N.A,137,133.0
33,2017,2,Parnaíba IV,Parnaiba Consolidated,"0,00","0,23",0.0,0,N.A,N.A,N.A,80.0
34,2017,2,Parnaíba I,,63%,17%,234.0,242,N.A,N.A,108,111.0
35,2017,2,Parnaíba II,,85%,35%,364.0,382,N.A,N.A,25,67.0
36,2017,2,Parnaíba II,,63%,0%,2.0,2,N.A,N.A,177,182.0
37,2017,3,Porto do Itaqui,Coal Consolidated,"0,98","0,99",686.0,775,N.A,N.A,148,145.0
38,2017,3,Porto do Pecém II,Coal Consolidated,"0,53","0,99",360.0,402,N.A,N.A,174,151.0
39,2017,3,Parnaíba IV,Parnaiba Consolidated,"0,39","1,00",39.0,40,N.A,N.A,N.A,80.0
40,2017,3,Parnaíba I,,82%,99%,1154.0,1196,N.A,N.A,111,105.0
41,2017,3,Parnaíba II,,95%,100%,1028.0,1080,N.A,N.A,104,67.0
42,2017,3,Parnaíba II,,82%,99%,306.0,316,N.A,N.A,182,182.0
43,2017,4,Porto do Itaqui,Coal Consolidated,"0,99","0,99",683.0,772,N.A,N.A,159,159.0
44,2017,4,Porto do Pecém II,Coal Consolidated,"0,86","0,97",608.0,680,N.A,N.A,165,163.0
45,2017,4,Parnaíba IV,Parnaiba Consolidated,"0,96","1,00",110.0,115,N.A,N.A,N.A,82.0
46,2017,4,Parnaíba I,,94%,99%,1344.0,1393,N.A,N.A,111,102.0
47,2017,4,Parnaíba II,,92%,100%,988.0,1038,N.A,N.A,113,69.0
48,2017,4,Parnaíba II,,94%,91%,317.0,327,N.A,N.A,189,187.0
49,2018,1,Porto do Itaqui,Coal Consolidated,"1,00","0,08",52.0,59,N.A,N.A,163,163.0
50,2018,1,Porto do Pecém II,Coal Consolidated,"1,00","0,77",522.0,583,N.A,N.A,171,163.0
51,2018,1,Parnaíba IV,Parnaiba Consolidated,"0,97","0,29",30.0,31,N.A,N.A,N.A,82.0
52,2018,1,Parnaíba I,,99%,29%,392.0,407,N.A,N.A,100,98.0
53,2018,1,Parnaíba II,,100%,36%,378.0,397,N.A,N.A,72,69.0
54,2018,1,Parnaíba II,,100%,0%,1.0,1,N.A,N.A,231,190.0
55,2018,2,Porto do Itaqui,Coal Consolidated,"0,85","0,24",170.0,193,N.A,N.A,173,176.0
56,2018,2,Porto do Pecém II,Coal Consolidated,"0,99","0,48",338.0,381,N.A,N.A,175,164.0
57,2018,2,Parnaíba IV,Parnaiba Consolidated,"0,83","0,25",17.0,18,N.A,N.A,N.A,82.0
58,2018,2,Parnaíba I,,89%,22%,287.0,300,N.A,N.A,121,112.0
59,2018,2,Parnaíba II,,79%,41%,411.0,436,N.A,N.A,N.A,69.0
60,2018,2,Parnaíba II,,92%,20%,73.0,77,N.A,N.A,185,187.0
61,2018,3,Porto do Itaqui,Coal Consolidated,"0,81","0,99",559.0,632,N.A,N.A,198,198.0
62,2018,3,Porto do Pecém II,Coal Consolidated,"0,94","0,98",658.0,739,N.A,N.A,209,203.0
63,2018,3,Parnaíba IV,Parnaiba Consolidated,"0,92","0,99",91.0,96,N.A,N.A,N.A,82.0
64,2018,3,Parnaíba I,,98%,99%,1364.0,1417,N.A,N.A,127,119.0
65,2018,3,Parnaíba II,,97%,100%,1033.0,1088,N.A,N.A,N.A,69.0
66,2018,3,Parnaíba II,,98%,99%,359.0,372,N.A,N.A,188,187.0
67,2018,4,Porto do Itaqui,Coal Consolidated,"1,00","0,35",247.0,279,N.A,N.A,207,208.0
68,2018,4,Porto do Pecém II,Coal Consolidated,"0,92","0,45",278.0,311,N.A,N.A,244,201.0
69,2018,4,Parnaíba IV,Parnaiba Consolidated,"0,97","0,66",74.0,77,N.A,N.A,N.A,82.0
70,2018,4,Parnaíba I,,99%,28%,373.0,387,N.A,N.A,139,132.0
71,2018,4,Parnaíba II,,98%,66%,672.0,707,N.A,N.A,N.A,73.0
72,2018,4,Parnaíba II,,100%,28%,102.0,106,N.A,N.A,191,187.0
73,2019,1,Porto do Itaqui,Coal Consolidated,"1,00","0,04",27.0,31,"1,00","0,00",163,150.0
74,2019,1,Porto do Pecém II,Coal Consolidated,"0,99","0,51",350.0,393,"0,59","0,41",215,163.0
75,2019,1,Parnaíba IV,Parnaiba Consolidated,"1,00","0,00",0.0,0,"0,00","1,00",N.A,136.0
76,2019,1,Parnaíba I,,100%,0%,0.0,0,"76,9%","23,1%",N.A,117.0
77,2019,1,Parnaíba II,,100%,23%,234.0,247,"95,8%","4,2%",74,72.0
78,2019,1,Parnaíba II,,100%,0%,0.0,0,"77,1%","22,9%",N.A,187.0
79,2019,2,Porto do Itaqui,Coal Consolidated,"1,00","0,00",0.0,0,N.A,N.A,N.A,134.0
80,2019,2,Porto do Pecém II,Coal Consolidated,"0,96","0,43",289.0,324,"0,03","0,97",194,142.0
81,2019,2,Parnaíba IV,Parnaiba Consolidated,"1,00","0,00",0.0,0,"0,00","1,00",N.A,136.0
82,2019,2,Parnaíba I,,99%,0%,5.0,7,"0,0%","100,0%",193,111.0
83,2019,2,Parnaíba II,,99%,32%,332.0,349,"99,0%","1,0%",N.A,72.0
84,2019,2,Parnaíba II,,100%,0%,1.0,1,"0,0%","100,0%",114,196.0
85,2019,3,Porto do Itaqui,Coal Consolidated,"0,97","0,84",582.0,657,"1,00","0,00",118,118.0
86,2019,3,Porto do Pecém II,Coal Consolidated,"0,43","0,88",219.0,245,"1,00","0,00",125,117.0
87,2019,3,Parnaíba IV,Parnaiba Consolidated,"0,95","0,83",91.0,95,"0,00","1,00",0,136.0
88,2019,3,Parnaíba I,,98%,80%,1123.0,1162,"97,4%","2,6%",98,96.0
89,2019,3,Parnaíba II,,96%,99%,1028.0,1079,"98,6%","1,4%",N.A,72.0
90,2019,3,Parnaíba II,,99%,23%,86.0,89,"91,7%","8,3%",198,196.0
91,2019,4,Porto do Itaqui,Coal Consolidated,"0,99","0,97",668.0,755,"1,00","0,00",134,133.0
92,2019,4,Porto do Pecém II,Coal Consolidated,"0,86","0,98",605.0,674,"1,00","0,00",137,138.0
93,2019,4,Parnaíba IV,Parnaiba Consolidated,"0,90","0,98",102.0,107,"0,00","1,00",N.A,136.0
94,2019,4,Parnaíba I,,94%,98%,1328.0,1375,"91,6%","8,4%",115,112.0
95,2019,4,Parnaíba II,,95%,100%,1023.0,1074,"99,0%","1,0%",N.A,49.0
96,2019,4,Parnaíba II,,95%,82%,295.0,304,"94,5%","5,5%",197,199.0
97,2020,1,Porto do Itaqui,Coal Consolidated,"0,96","0,55",367.0,415,"0,99","0,01",125,122.0
98,2020,1,Porto do Pecém II,Coal Consolidated,"0,98","0,50",337.0,379,"1,00","0,00",149,127.0
99,2020,1,Parnaíba IV,Parnaiba Consolidated,"0,97","0,44",48.0,50,"0,00","1,00",N.A,136.0
100,2020,1,Parnaíba I,,96%,60%,804.0,832,"77,0%","23,0%",135,94.0
101,2020,1,Parnaíba II,,98%,62%,643.0,675,"91,5%","8,5%",83,74.0
102,2020,1,Parnaíba II,,93%,35%,125.0,129,"75,3%","24,7%",226,201.0
103,2020,2,Porto do Itaqui,Coal Consolidated,"1,00","0,00",0.0,0,N.A,N.A,N.A,128.0
104,2020,2,Porto do Pecém II,Coal Consolidated,"1,00","0,00",0.0,0,N.A,N.A,N.A,132.0
105,2020,2,Parnaíba IV,Parnaiba Consolidated,"1,00","0,00",0.0,0,"0,00","1,00",N.A,136.0
106,2020,2,Parnaíba I,,89%,0%,7.0,7,"0,0%","100,0%",N.A,99.0
107,2020,2,Parnaíba II,,94%,33%,340.0,359,"97,6%","2,4%",N.A,74.0
108,2020,2,Parnaíba II,,100%,0%,0.0,0,"0,0%","100,0%",N.A,201.0
109,2020,3,Porto do Itaqui,Coal Consolidated,"1,00","0,00",0.0,0,N.A,N.A,N.A,142.0
110,2020,3,Porto do Pecém II,Coal Consolidated,"1,00","0,00",0.0,0,N.A,N.A,N.A,147.0
111,2020,3,Parnaíba IV,Parnaiba Consolidated,"0,99","0,06",7.0,7,"0,00","1,00",N.A,136.0
112,2020,3,Parnaíba I,,87%,2%,23.0,24,"0,0%","100,0%",N.A,90.0
113,2020,3,Parnaíba II,,93%,97%,974.0,1033,"99,8%","0,2%",N.A,74.0
114,2020,3,Parnaíba II,,100%,0%,0.0,0,N.A,N.A,N.A,201.0
115,2020,4,Porto do Itaqui,Coal Consolidated,"0,94","0,94",640.0,700,"0,99","0,01",160,162.0
116,2020,4,Porto do Pecém II,Coal Consolidated,"0,96","0,84",582.0,634,"0,99","0,01",165,167.0
117,2020,4,Parnaíba IV,Parnaiba Consolidated,"0,92","0,97",104.0,113,"0,00","1,00",N.A,136.0
118,2020,4,Parnaíba I,,93%,94%,1254.0,1304,"75,8%","24,2%",196,155.0
119,2020,4,Parnaíba II,,94%,98%,1005.0,1068,"98,7%","1,3%",N.A,76.0
120,2020,4,Parnaíba II,,97%,65%,240.0,248,"59,6%","40,4%",229,205.0
121,2021,1,Porto do Itaqui,Coal Consolidated,"0,24","0,25",165.0,187,"1,00","0,00",178,185.0
122,2021,1,Porto do Pecém II,Coal Consolidated,"0,99","0,54",371.0,416,"1,00","0,00",202,193.0
123,2021,1,Parnaíba IV,Parnaiba Consolidated,"0,66","0,44",48.0,50,"0,00","1,00",N.A,136.0
124,2021,1,Parnaíba I,,98%,60%,807.0,838,"77,0%","23,0%",147,144.0
125,2021,1,Parnaíba II,,39%,86%,409.0,431,"96,5%","3,5%",N.A,77.0
126,2021,1,Parnaíba II,,99%,51%,186.0,192,"81,6%","18,4%",205,209.0
127,2021,2,Porto do Itaqui,Coal Consolidated,"0,77","0,49",308.0,349,"0,98","0,02",227,229.0
128,2021,2,Porto do Pecém II,Coal Consolidated,"1,00","0,42",299.0,335,"1,00","0,00",248,237.0
129,2021,2,Parnaíba IV,Parnaiba Consolidated,"0,69","0,54",55.0,58,"0,00","1,00",N.A,136.0
130,2021,2,Parnaíba I,,89%,59%,807.0,839,"77,0%","23,0%",186,167.0
131,2021,2,Parnaíba II,,75%,79%,653.0,689,"100,0%","0,0%",N.A,77.0
132,2021,2,Parnaíba II,,95%,48%,175.0,181,"82,2%","17,8%",216,209.0
133,2021,3,Porto do Itaqui,Coal Consolidated,"0,86","0,99",606.0,683,"1,00","0,00",345,343.0
134,2021,3,Porto do Pecém II,Coal Consolidated,"0,94","0,97",652.0,731,"1,00","0,00",348,347.0
135,2021,3,Parnaíba IV,Parnaiba Consolidated,"0,97","0,99",113.0,118,"0,00","1,00",N.A,136.0
136,2021,3,Parnaíba I,,96%,99%,1368.0,1412,"77,2%","22,8%",275,212.0
137,2021,3,Parnaíba II,,84%,93%,913.0,958,"100,0%","0,0%",N.A,77.0
138,2021,3,Parnaíba II,,97%,99%,363.0,377,"82,3%","17,7%",234,209.0
139,2021,4,Porto do Itaqui,Coal Consolidated,"0,95","0,73",494.0,548,"1,00","0,00",538,536.0
140,2021,4,Porto do Pecém II,Coal Consolidated,"1,00","0,71",505.0,564,"1,00","0,00",568,544.0
141,2021,4,Parnaíba IV,Parnaiba Consolidated,"0,95","0,78",87.0,91,"0,00","1,00",N.A,136.0
142,2021,4,Porto de Sergipe I,Third-part LNG,"0,72","1,00",2395.0,2452,"1,00","0,00",0,0.0
143,2021,4,Fortaleza,Third-part LNG,"0,25","0,06",45.0,45,"1,00","0,00",0,0.0
144,2021,4,Parnaíba I,,97%,75%,1040.0,1076,"77,1%","22,9%",336,323.0
145,2021,4,Parnaíba II,,93%,81%,816.0,866,"83,1%","16,9%",N.A,81.0
146,2021,4,Parnaíba II,,97%,75%,276.0,285,"76,5%","23,5%",217,220.0
147,2022,1,Porto do Itaqui,Coal Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",0,461.0
148,2022,1,Porto do Pecém II,Coal Consolidated,"0,99","0,00",0.0,0,"0,00","0,00",0,468.0
149,2022,1,Parnaíba IV,Parnaiba Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",N.A,136.0
150,2022,1,Jaguatirica II,Roraima,"0,24","0,19",31.0,32,"1,00","0,00",268,212.0
151,2022,1,Porto de Sergipe I,Third-part LNG,"0,95","0,26",785.0,805,"1,00","0,00",0,0.0
152,2022,1,Fortaleza,Third-part LNG,"1,00","0,00",0.0,0,"0,00","0,00",0,0.0
153,2022,1,Parnaíba I,,99%,0%,0.0,0,"0,0%","0,0%",0,275.0
154,2022,1,Parnaíba II,,95%,0%,0.0,0,"0,0%","0,0%",N.A,85.0
155,2022,1,Parnaíba II,,98%,0%,1.0,1,"0,0%","100,0%",0,231.0
156,2022,2,Porto do Itaqui,Coal Consolidated,"0,94","0,00",3.0,3,"0,00","1,00",-146,738.0
157,2022,2,Porto do Pecém II,Coal Consolidated,"1,00","0,00",3.0,3,"0,00","1,00",262,781.0
158,2022,2,Parnaíba IV,Parnaiba Consolidated,"0,79","0,20",24.0,25,"0,00","1,00",N.A,136.0
159,2022,2,Jaguatirica II,Roraima,"0,46","0,37",98.0,103,"1,00","0,00",226,225.0
160,2022,2,Porto de Sergipe I,Third-part LNG,"0,84","0,00",0.0,0,"0,00","0,00",0,0.0
161,2022,2,Fortaleza,Third-part LNG,"1,00","0,00",0.0,0,"0,00","0,00",0,0.0
162,2022,2,Parnaíba I,,99%,21%,302.0,316,"0,0%","100,0%",428,440.0
163,2022,2,Parnaíba II,,88%,32%,316.0,353,"97,7%","2,3%",N.A,85.0
164,2022,2,Parnaíba II,,99%,32%,120.0,125,"0,0%","100,0%",411,231.0
165,2022,3,Porto do Itaqui,Coal Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",0,947.0
166,2022,3,Porto do Pecém II,Coal Consolidated,"0,74","0,00",3.0,3,"0,00","1,00",100,1032.0
167,2022,3,Parnaíba IV,Parnaiba Consolidated,"0,99","0,61",71.0,75,"0,00","1,00",N.A,136.0
168,2022,3,Jaguatirica II,Roraima,"0,53","0,47",121.0,128,"1,00","0,00",226,225.0
169,2022,3,Porto de Sergipe I,Third-part LNG,"0,79","0,00",2.0,2,"1,00","0,00",0,0.0
170,2022,3,Fortaleza,Third-part LNG,"1,00","0,00",0.0,0,"0,00","0,00",0,0.0
171,2022,3,Parnaíba I,,100%,29%,268.0,282,"0,0%","100,0%",201,439.0
172,2022,3,Parnaíba II,,97%,93%,993.0,1047,"99,0%","1,0%",N.A,85.0
173,2022,3,Parnaíba II,,100%,67%,252.0,263,"0,0%","100,0%",431,231.0
174,2022,4,Porto do Itaqui,Coal Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",0,699.0
175,2022,4,Porto do Pecém II,Coal Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",0,707.0
176,2022,4,Parnaíba IV,Parnaiba Consolidated,"0,99","0,08",9.0,10,"0,00","1,00",N.A,136.0
177,2022,4,Parnaíba V,Parnaiba Consolidated,"0,95","0,58",239.0,252,"0,00","1,00",0,0.0
178,2022,4,Jaguatirica II,Roraima,"0,59","0,53",139.0,147,"1,00","0,00",236,225.0
179,2022,4,Porto de Sergipe I,Third-part LNG,"0,96","0,00",0.0,0,"0,00","0,00",0,0.0
180,2022,4,Fortaleza,Third-part LNG,"1,00","0,00",0.0,0,"0,00","0,00",0,0.0
181,2022,4,Parnaíba I,,100%,36%,579.0,610,"0,0%","100,0%",146,343.0
182,2022,4,Parnaíba II,,100%,69%,744.0,788,"89,0%","11,0%",N.A,85.0
183,2022,4,Parnaíba II,,99%,0%,0.0,0,"0,0%","0,0%",0,241.0
184,2023,1,Porto do Itaqui,Coal Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",N.A,462.0
185,2023,1,Porto do Pecém II,Coal Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",N.A,469.0
186,2023,1,Parnaíba IV,Parnaiba Consolidated,"1,00","0,24",13.0,14,"0,00","1,00",N.A,136.0
187,2023,1,Jaguatirica II,Roraima,"0,81","0,64",164.0,172,"1,00","0,00",240,240.0
188,2023,1,Porto de Sergipe I,Third-part LNG,"0,97","0,00",0.0,0,"0,00","0,00",0,321.0
189,2023,1,Fortaleza,Third-part LNG,"0,59","0,00",0.0,0,"0,00","0,00",0,265.0
190,2023,1,Parnaíba I,,100%,11%,157.0,165,"0,0%","100,0%",184,253.0
191,2023,1,Parnaíba II,,99%,10%,116.0,122,"0,0%","100,0%",N.A,91.0
192,2023,1,Parnaíba II,,74%,4%,30.0,32,"0,0%","100,0%",-,246.0
193,2023,2,Porto do Itaqui,Coal Consolidated,"0,99","0,00",0.0,0,"0,00","0,00",N.A,363.0
194,2023,2,Porto do Pecém II,Coal Consolidated,"0,99","0,00",0.0,0,"0,00","0,00",N.A,370.0
195,2023,2,Parnaíba IV,Parnaiba Consolidated,"0,97","0,20",24.0,25,"0,00","1,00",N.A,136.0
196,2023,1,Parnaíba V,Parnaiba Consolidated,"0,95","0,10",87.0,92,"0,00","1,00",0,0.0
197,2023,2,Jaguatirica II,Roraima,"0,82","0,63",166.0,174,"1,00","0,00",240,240.0
198,2023,2,Porto de Sergipe I,Third-part LNG,"0,97","0,00",0.0,0,"0,00","0,00",0,321.0
199,2023,2,Fortaleza,Third-part LNG,"1,00","0,00",0.0,0,"0,00","0,00",0,265.0
200,2023,2,Parnaíba I,,98%,35%,508.0,536,"0,0%","100,0%",324,121.0
201,2023,2,Parnaíba II,,100%,32%,345.0,366,"97,2%","2,8%",N.A,91.0
202,2023,2,Parnaíba II,,100%,9%,36.0,37,"0,0%","100,0%",457,246.0
203,2023,3,Porto do Itaqui,Coal Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",N.A,294.0
204,2023,3,Porto do Pecém II,Coal Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",N.A,301.0
205,2023,3,Parnaíba IV,Parnaiba Consolidated,"1,00","0,00",0.0,0,"0,00","0,00",N.A,136.0
206,2023,2,Parnaíba V,Parnaiba Consolidated,"0,97","0,33",265.0,279,"0,00","1,00",0,0.0
207,2023,3,Jaguatirica II,Roraima,"0,86","0,73",185.0,194,"1,00","0,00",0,240.0
208,2023,3,Porto de Sergipe I,Third-part LNG,"0,97","0,00",0.0,0,"0,00","0,00",0,321.0
209,2023,3,Fortaleza,Third-part LNG,"1,00","0,00",0.0,0,"0,00","0,00",0,265.0
210,2023,3,Parnaíba I,,100%,8%,107.0,113,"0,0%","100,0%",218,124.0
211,2023,3,Parnaíba II,,97%,91%,986.0,1043,"100,0%","0,0%",N.A,91.0
212,2023,3,Parnaíba II,,98%,0%,2.0,2,"0,0%","100,0%",0,246.0
213,2023,3,Parnaíba V,Parnaiba Consolidated,"1,00","0,07",52.0,55,"0,00","1,00",0,0.0
